feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000066,0.000025,0.000091,0,123
1,0.000057,0.000025,0.000082,0,81
1,0.000067,0.000028,0.000095,0,172
1,0.000045,0.000023,0.000068,0,64
1,0.000046,0.000024,0.000070,0,72
1,0.000045,0.000023,0.000068,0,65
1,0.000043,0.000023,0.000066,0,61
1,0.000058,0.000026,0.000084,0,102
1,0.000043,0.000023,0.000066,0,68
1,0.000045,0.000023,0.000068,0,66
1,0.000043,0.000021,0.000064,0,62
1,0.000052,0.000023,0.000075,0,92
1,0.000044,0.000022,0.000066,0,66
1,0.000045,0.000023,0.000068,0,67
1,0.000048,0.000023,0.000071,0,68
1,0.000039,0.000035,0.000074,0,65
1,0.000049,0.000023,0.000072,0,103
0,0.000059,0.000024,0.000083,0,274
0,0.000108,0.000023,0.000131,0,260
0,0.000069,0.000024,0.000093,0,341
0,0.000043,0.000023,0.000066,0,259
0,0.000045,0.000023,0.000068,0,355
0,0.000042,0.000024,0.000066,0,260
0,0.000054,0.000024,0.000078,0,362
0,0.000045,0.000024,0.000069,0,454
0,0.000050,0.000025,0.000075,0,485
0,0.000042,0.000023,0.000065,0,278
0,0.000052,0.000025,0.000077,0,460
0,0.000042,0.000023,0.000065,0,263
0,0.000045,0.000023,0.000068,0,273
0,0.000049,0.000023,0.000072,0,365
0,0.000053,0.000024,0.000077,0,269
0,0.000049,0.000023,0.000072,0,365
0,0.000042,0.000024,0.000066,0,365
0,0.000104,0.000055,0.000159,0,377
0,0.000045,0.000023,0.000068,0,266
0,0.000051,0.000024,0.000075,0,288
