
test_runs,variables,constraints,timestamp,total_avg,total_max,total_min,feasible_avg,feasible_max,feasible_min,infeas_avg,infeas_max,infeas_min,zero_max,zero_min,zero_avg
10,100,100,2024-10-30 17:59:54.386633,0.0005166,0.001176,1e-06,3.65e-05,6.5e-05,1e-06,0.0008366666666666667,0.001176,0.000665,1e-06,1e-06,1e-06
10,100,100,2024-10-30 18:00:20.037052,0.00025790000000000003,0.000831,1e-06,3.714285714285715e-05,5.9e-05,1e-06,0.0007729999999999999,0.000831,0.000703,1e-06,1e-06,1e-06
10,100,100,2024-11-05 12:35:00.625714,0.0001691,0.000759,0.0,2.4125e-05,3.9e-05,0.0,0.000749,0.000759,0.000739,1e-06,0.0,3.333333333333333e-07
10,100,100,2024-11-05 12:35:45.304490,0.0002405,0.000801,0.0,2.2285714285714287e-05,3.9e-05,0.0,0.0007496666666666667,0.000801,0.000701,1e-06,0.0,6.666666666666666e-07
10,100,100,2024-11-05 12:36:05.623472,0.0002564,0.000787,0.0,3.3428571428571425e-05,4.1e-05,0.0,0.0007766666666666667,0.000787,0.000767,0.0,0.0,0.0
10,100,100,2024-11-05 12:36:20.481399,0.00017930000000000002,0.000762,1e-06,3.375e-05,3.9e-05,1e-06,0.0007615,0.000762,0.000761,1e-06,1e-06,1e-06
10,100,100,2024-11-05 12:37:56.633155,0.00017130000000000002,0.00082,0.0,3.2875e-05,7e-05,0.0,0.000725,0.00082,0.00063,0.0,0.0,0.0
10,100,200,2024-11-05 12:37:57.783891,0.0015535,0.003479,1e-06,5.2e-05,6.5e-05,1e-06,0.003055,0.003479,0.002511,1e-06,1e-06,1e-06
10,100,700,2024-11-05 12:37:59.162287,0.010840899999999999,0.036189,2e-06,0.0002467142857142857,0.000381,2e-06,0.035560666666666664,0.036189,0.03481,2e-06,2e-06,2e-06
100,100,100,2024-11-05 12:38:37.691483,0.00025940000000000007,0.000818,0.0,3.186764705882353e-05,0.000118,0.0,0.00074290625,0.000818,0.000661,1e-06,0.0,5.333333333333333e-07
100,100,200,2024-11-05 12:38:48.537792,0.0014180700000000002,0.003649,0.0,4.536363636363636e-05,7.1e-05,0.0,0.003095822222222223,0.003649,0.002448,1e-06,0.0,7.647058823529412e-07
100,100,700,2024-11-05 12:39:02.235626,0.012328559999999997,0.03776,1e-06,0.00017827692307692306,0.000322,1e-06,0.03489337142857142,0.03776,0.024185,2e-06,1e-06,1.142857142857143e-06
100,100,10000,2024-11-05 12:40:34.085417,0.46097201000000004,2.145346,9e-06,0.022705078125,0.076937,9e-06,1.2401132222222222,2.145346,1.005074,1.1e-05,9e-06,9.888888888888889e-06
100,100,100,2024-11-05 12:47:22.527046,0.00025785,0.0009,0.0,3.3507246376811594e-05,5.9e-05,0.0,0.0007571935483870967,0.0009,0.000651,1e-06,0.0,3e-07
100,100,200,2024-11-05 12:47:33.260251,0.0009665800000000001,0.003607,0.0,5.088571428571429e-05,7.8e-05,0.0,0.0031032000000000004,0.003607,0.002545,1e-06,0.0,6.875e-07
100,100,700,2024-11-05 12:47:46.802003,0.011602079999999999,0.03679,1e-06,0.00018962686567164177,0.000296,1e-06,0.03477281818181819,0.03679,0.031494,2e-06,1e-06,1.2222222222222221e-06
100,100,10000,2024-11-05 12:49:15.962755,0.43820938000000004,1.153028,1e-05,0.01569393220338983,0.023168,1e-05,1.0462194146341464,1.153028,0.98608,1.2e-05,1e-05,1.0230769230769231e-05
100,200,200,2024-11-05 12:49:27.681100,0.00361417,0.013561,0.0,0.00013295714285714284,0.000245,0.0,0.011737,0.013561,0.010026,1e-06,0.0,5.384615384615383e-07
100,200,400,2024-11-05 12:49:41.818264,0.014850080000000003,0.055888,0.0,0.00024924999999999996,0.000324,0.0,0.05239507142857143,0.055888,0.047375,1e-06,0.0,9.090909090909091e-07
100,200,1600,2024-11-05 12:50:15.670158,0.13049431,0.4115,2e-06,0.0009635671641791046,0.002082,2e-06,0.39348096969696966,0.4115,0.337118,3e-06,2e-06,2.15e-06
100,200,40000,2024-11-05 13:59:29.257334,38.57288264,123.538036,3.7e-05,0.1910558148148148,0.976451,3.7e-05,83.6298097826087,123.538036,76.138026,5.9e-05,3.7e-05,3.958333333333333e-05
100,500,500,2024-11-05 14:00:03.114800,0.11017761999999999,0.387855,1e-06,0.0009770447761194032,0.001984,1e-06,0.3318878787878788,0.387855,0.292166,2e-06,1e-06,1.1333333333333336e-06
100,500,1000,2024-11-05 14:01:41.443971,0.6542077499999999,2.556855,1e-06,0.0018131384615384615,0.003403,1e-06,1.8657977428571428,2.556855,1.465435,3e-06,1e-06,1.8571428571428575e-06
100,500,4500,2024-11-05 14:49:55.003405,27.910159879999995,73.466636,5e-06,0.024852877192982452,0.052072,5e-06,64.87440404651161,73.466636,57.308,9e-06,5e-06,6.000000000000001e-06
10,1000,2000,2024-11-06 10:54:57.346315,8.0163991,40.329467,3e-06,0.012219875,0.015004,3e-06,40.033116,40.329467,39.736765,3e-06,3e-06,3e-06
1,1000,2000,2024-11-06 11:01:37.196838,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,nan,nan,nan,3e-06,3e-06,3e-06
1,1000,2000,2024-11-06 11:01:44.900391,0.015398,0.015398,0.015398,0.015398,0.015398,0.015398,nan,nan,nan,nan,nan,nan
1,1000,2000,2024-11-06 11:01:51.474565,0.01556,0.01556,0.01556,0.01556,0.01556,0.01556,nan,nan,nan,nan,nan,nan
10,1000,2000,2024-11-06 11:10:35.678105,23.4965314,47.501616,0.015952,0.016355750000000002,0.016706,0.015952,39.149981833333335,47.501616,35.616068,nan,nan,nan
10,100,100,2024-11-06 16:30:55.505629,0.0001106,0.000758,3.5e-05,3.866666666666667e-05,4.6e-05,3.5e-05,0.000758,0.000758,0.000758,nan,nan,nan
10,100,100,2024-11-06 16:31:21.873480,0.00032470000000000003,0.000808,3.4e-05,3.55e-05,3.7e-05,3.4e-05,0.0007585000000000001,0.000808,0.000717,nan,nan,nan
10,100,100,2024-11-06 16:31:25.055540,0.0006406999999999999,0.001181,1e-06,1.85e-05,3.6e-05,1e-06,0.00079625,0.001181,0.00066,1e-06,1e-06,1e-06
10,100,100,2024-11-06 16:31:32.994174,0.0001835,0.000876,1e-06,3.125e-05,3.7e-05,1e-06,0.0007925,0.000876,0.000709,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:31:53.027640,0.006536499999999999,0.032001,2e-06,0.00027962500000000003,0.000647,2e-06,0.031564,0.032001,0.031127,2e-06,2e-06,2e-06
10,100,700,2024-11-06 16:31:56.960362,0.0208189,0.035294,1e-06,0.00022225,0.000346,1e-06,0.03455,0.035294,0.033356,1e-06,1e-06,1e-06
