feasible,beginning_to_start,start_to_solution,total
0,0.003211,0.029976,0.033187
0,0.003097,0.028736,0.031833
0,0.003155,0.030099,0.033254
0,0.003063,0.028404,0.031467
0,0.003183,0.029057,0.032240
0,0.003198,0.029258,0.032456
0,0.003142,0.028697,0.031839
0,0.003106,0.029582,0.032688
0,0.003168,0.028687,0.031855
0,0.003020,0.025413,0.028433
0,0.003178,0.030150,0.033328
0,0.003106,0.028419,0.031525
0,0.003168,0.027571,0.030739
0,0.003332,0.029101,0.032433
0,0.003034,0.028423,0.031457
0,0.003060,0.029413,0.032473
0,0.003343,0.030450,0.033793
0,0.003126,0.030864,0.033990
0,0.003013,0.026693,0.029706
0,0.003052,0.026457,0.029509
0,0.003227,0.031290,0.034517
0,0.003392,0.029160,0.032552
0,0.003063,0.029741,0.032804
0,0.003108,0.030661,0.033769
0,0.003238,0.030305,0.033543
0,0.003042,0.029258,0.032300
0,0.003213,0.028644,0.031857
0,0.003194,0.029510,0.032704
0,0.003007,0.026804,0.029811
0,0.003150,0.028499,0.031649
0,0.003121,0.029488,0.032609
0,0.003172,0.029010,0.032182
0,0.003292,0.031549,0.034841
0,0.003338,0.029906,0.033244
0,0.003138,0.030455,0.033593
0,0.003151,0.030306,0.033457
0,0.003561,0.031457,0.035018
0,0.003128,0.028011,0.031139
0,0.003243,0.030429,0.033672
0,0.003097,0.028590,0.031687
0,0.003204,0.029703,0.032907
0,0.003094,0.028681,0.031775
0,0.003181,0.028211,0.031392
0,0.003264,0.029922,0.033186
0,0.003192,0.029552,0.032744
0,0.003087,0.029383,0.032470
0,0.002923,0.026565,0.029488
0,0.003168,0.029253,0.032421
0,0.003146,0.029410,0.032556
0,0.003130,0.029791,0.032921
0,0.003186,0.030388,0.033574
0,0.003362,0.029593,0.032955
0,0.003087,0.027739,0.030826
0,0.003252,0.030982,0.034234
0,0.003129,0.027937,0.031066
0,0.003091,0.028862,0.031953
0,0.003201,0.030050,0.033251
0,0.003409,0.030599,0.034008
0,0.003016,0.027389,0.030405
0,0.003203,0.030344,0.033547
0,0.003134,0.028810,0.031944
0,0.003199,0.030666,0.033865
0,0.003266,0.029441,0.032707
0,0.003229,0.029641,0.032870
0,0.003095,0.027781,0.030876
0,0.004477,0.030141,0.034618
0,0.003170,0.029477,0.032647
0,0.003153,0.028441,0.031594
0,0.003315,0.031043,0.034358
0,0.003203,0.029683,0.032886
0,0.003194,0.027799,0.030993
0,0.003032,0.026936,0.029968
0,0.003350,0.030497,0.033847
0,0.003302,0.029569,0.032871
0,0.003224,0.029772,0.032996
0,0.003134,0.028920,0.032054
0,0.003246,0.028744,0.031990
0,0.003026,0.026697,0.029723
0,0.003023,0.027878,0.030901
0,0.003460,0.030972,0.034432
0,0.003140,0.030444,0.033584
0,0.003189,0.030022,0.033211
0,0.003338,0.029653,0.032991
0,0.003254,0.030272,0.033526
0,0.003086,0.027827,0.030913
0,0.003479,0.029484,0.032963
0,0.003323,0.030557,0.033880
0,0.003250,0.030585,0.033835
0,0.003183,0.029331,0.032514
0,0.003292,0.029664,0.032956
0,0.003219,0.031552,0.034771
0,0.003195,0.031035,0.034230
0,0.003166,0.028562,0.031728
0,0.003324,0.031100,0.034424
0,0.003242,0.029783,0.033025
0,0.003094,0.026960,0.030054
0,0.003108,0.026938,0.030046
0,0.003313,0.031164,0.034477
0,0.003274,0.031067,0.034341
0,0.003194,0.028812,0.032006
0,0.003065,0.029342,0.032407
0,0.003044,0.027960,0.031004
0,0.003086,0.027852,0.030938
0,0.003396,0.030240,0.033636
0,0.003070,0.027894,0.030964
0,0.003126,0.027253,0.030379
0,0.003353,0.029254,0.032607
0,0.003379,0.029110,0.032489
0,0.003135,0.027306,0.030441
