feasible,beginning_to_start,start_to_solution,total,zero_solution
1,0.001938,0.000162,0.002100,0
1,0.001770,0.000159,0.001929,0
1,0.001811,0.000164,0.001975,0
0,0.001949,0.011585,0.013534,0
0,0.002109,0.012500,0.014609,0
1,0.001897,0.000160,0.002057,0
1,0.001849,0.000158,0.002007,0
1,0.001914,0.000159,0.002073,0
1,0.001956,0.000164,0.002120,0
1,0.001943,0.000000,0.001943,1
1,0.001996,0.000159,0.002155,0
1,0.002315,0.000163,0.002478,0
1,0.001789,0.000161,0.001950,0
0,0.001915,0.012272,0.014187,0
1,0.001839,0.000001,0.001840,1
1,0.002029,0.000164,0.002193,0
0,0.002184,0.012947,0.015131,0
1,0.001923,0.000160,0.002083,0
1,0.001983,0.000245,0.002228,0
1,0.001775,0.000000,0.001775,1
0,0.001736,0.010639,0.012375,0
1,0.001915,0.000157,0.002072,0
1,0.001914,0.000161,0.002075,0
1,0.001742,0.000160,0.001902,0
0,0.001904,0.011258,0.013162,0
1,0.001810,0.000158,0.001968,0
1,0.001988,0.000162,0.002150,0
1,0.001887,0.000000,0.001887,1
1,0.001931,0.000162,0.002093,0
1,0.001943,0.000172,0.002115,0
0,0.001966,0.011029,0.012995,0
1,0.001826,0.000159,0.001985,0
0,0.001833,0.011002,0.012835,0
1,0.001796,0.000158,0.001954,0
1,0.001959,0.000164,0.002123,0
1,0.001839,0.000165,0.002004,0
1,0.001849,0.000161,0.002010,0
0,0.002151,0.011590,0.013741,0
0,0.001869,0.010026,0.011895,0
1,0.001945,0.000001,0.001946,1
0,0.002035,0.012150,0.014185,0
1,0.002119,0.000162,0.002281,0
1,0.001835,0.000001,0.001836,1
1,0.001741,0.000159,0.001900,0
1,0.001996,0.000160,0.002156,0
0,0.001971,0.011727,0.013698,0
1,0.001983,0.000158,0.002141,0
1,0.001788,0.000159,0.001947,0
1,0.001867,0.000160,0.002027,0
1,0.001765,0.000155,0.001920,0
0,0.001859,0.011056,0.012915,0
1,0.001942,0.000159,0.002101,0
1,0.002020,0.000159,0.002179,0
0,0.001923,0.012826,0.014749,0
0,0.001966,0.013561,0.015527,0
1,0.001920,0.000000,0.001920,1
0,0.002151,0.011489,0.013640,0
1,0.002031,0.000161,0.002192,0
1,0.001970,0.000159,0.002129,0
1,0.001879,0.000163,0.002042,0
0,0.001940,0.010201,0.012141,0
1,0.002020,0.000181,0.002201,0
1,0.002027,0.000000,0.002027,1
1,0.001863,0.000168,0.002031,0
0,0.001897,0.011993,0.013890,0
1,0.001832,0.000183,0.002015,0
1,0.002070,0.000158,0.002228,0
1,0.002057,0.000161,0.002218,0
0,0.001987,0.013236,0.015223,0
1,0.001867,0.000161,0.002028,0
1,0.001964,0.000164,0.002128,0
1,0.001877,0.000157,0.002034,0
1,0.001909,0.000001,0.001910,1
0,0.001982,0.013517,0.015499,0
1,0.002170,0.000156,0.002326,0
1,0.001799,0.000159,0.001958,0
1,0.001943,0.000161,0.002104,0
1,0.001941,0.000164,0.002105,0
1,0.002052,0.000160,0.002212,0
1,0.001922,0.000001,0.001923,1
0,0.001909,0.010844,0.012753,0
1,0.001821,0.000158,0.001979,0
0,0.001948,0.012420,0.014368,0
1,0.001871,0.000162,0.002033,0
0,0.001827,0.011131,0.012958,0
1,0.001858,0.000000,0.001858,1
0,0.001865,0.010942,0.012807,0
1,0.001810,0.000164,0.001974,0
1,0.001912,0.000167,0.002079,0
1,0.001957,0.000163,0.002120,0
0,0.001825,0.011503,0.013328,0
0,0.001974,0.012530,0.014504,0
0,0.001875,0.010583,0.012458,0
1,0.001838,0.000001,0.001839,1
0,0.002031,0.012524,0.014555,0
1,0.001926,0.000163,0.002089,0
0,0.002033,0.011537,0.013570,0
0,0.002007,0.011492,0.013499,0
1,0.001841,0.000159,0.002000,0
1,0.001829,0.000001,0.001830,1
