feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000075,0.000037,0.000112,0,147
1,0.000073,0.000034,0.000107,0,96
0,0.000075,0.000040,0.000115,0,511
0,0.000075,0.000041,0.000116,0,555
0,0.000075,0.000036,0.000111,0,313
1,0.000077,0.000034,0.000111,0,97
1,0.000067,0.000034,0.000101,0,106
1,0.000064,0.000033,0.000097,0,100
1,0.000055,0.000032,0.000087,0,89
1,0.000076,0.000035,0.000111,0,194
0,0.000077,0.000036,0.000113,0,322
0,0.000073,0.000034,0.000107,0,294
1,0.000071,0.000033,0.000104,0,90
0,0.000063,0.000033,0.000096,0,289
1,0.000081,0.000033,0.000114,0,95
1,0.000071,0.000033,0.000104,0,91
0,0.000078,0.000047,0.000125,0,523
1,0.000062,0.000033,0.000095,0,92
1,0.000067,0.000037,0.000104,0,255
1,0.000087,0.000033,0.000120,0,89
1,0.000067,0.000033,0.000100,0,90
1,0.000071,0.000039,0.000110,0,339
1,0.000071,0.000032,0.000103,0,90
0,0.000097,0.000036,0.000133,0,572
1,0.000066,0.000032,0.000098,0,86
0,0.000079,0.000039,0.000118,0,668
1,0.000066,0.000032,0.000098,0,93
0,0.000064,0.000034,0.000098,0,485
0,0.000072,0.000038,0.000110,0,488
1,0.000088,0.000033,0.000121,0,90
0,0.000070,0.000036,0.000106,0,424
1,0.000077,0.000033,0.000110,0,95
0,0.000075,0.000034,0.000109,0,299
1,0.000065,0.000033,0.000098,0,123
1,0.000071,0.000033,0.000104,0,101
1,0.000068,0.000033,0.000101,0,95
1,0.000068,0.000032,0.000100,0,87
0,0.000068,0.000037,0.000105,0,391
1,0.000073,0.000034,0.000107,0,193
0,0.000072,0.000037,0.000109,0,403
0,0.000080,0.000040,0.000120,0,404
0,0.000084,0.000051,0.000135,0,752
1,0.000074,0.000033,0.000107,0,103
0,0.000072,0.000034,0.000106,0,286
0,0.000080,0.000038,0.000118,0,441
0,0.000072,0.000038,0.000110,0,759
1,0.000071,0.000033,0.000104,0,88
0,0.000066,0.000034,0.000100,0,293
1,0.000085,0.000033,0.000118,0,98
1,0.000068,0.000033,0.000101,0,89
1,0.000073,0.000035,0.000108,0,161
1,0.000076,0.000033,0.000109,0,93
0,0.000081,0.000036,0.000117,0,307
1,0.000073,0.000035,0.000108,0,130
0,0.000151,0.000065,0.000216,0,569
0,0.000068,0.000034,0.000102,0,381
0,0.000069,0.000038,0.000107,0,507
1,0.000084,0.000032,0.000116,0,88
1,0.000061,0.000033,0.000094,0,88
1,0.000067,0.000033,0.000100,0,91
1,0.000070,0.000034,0.000104,0,97
0,0.000077,0.000036,0.000113,0,382
1,0.000076,0.000036,0.000112,0,142
0,0.000071,0.000035,0.000106,0,370
0,0.000077,0.000035,0.000112,0,383
1,0.000062,0.000034,0.000096,0,165
1,0.000071,0.000033,0.000104,0,92
0,0.000097,0.000037,0.000134,0,345
1,0.000060,0.000033,0.000093,0,85
0,0.000072,0.000035,0.000107,0,445
1,0.000058,0.000033,0.000091,0,86
0,0.000068,0.000038,0.000106,0,350
1,0.000068,0.000036,0.000104,0,251
0,0.000117,0.000041,0.000158,0,501
1,0.000063,0.000033,0.000096,0,90
0,0.000075,0.000037,0.000112,0,422
0,0.000070,0.000043,0.000113,0,665
1,0.000080,0.000033,0.000113,0,101
1,0.000073,0.000034,0.000107,0,126
0,0.000071,0.000056,0.000127,0,485
1,0.000074,0.000035,0.000109,0,164
1,0.000071,0.000033,0.000104,0,90
1,0.000075,0.000033,0.000108,0,94
1,0.000062,0.000033,0.000095,0,95
0,0.000078,0.000034,0.000112,0,285
0,0.000071,0.000037,0.000108,0,521
0,0.000079,0.000041,0.000120,0,483
1,0.000075,0.000035,0.000110,0,118
1,0.000063,0.000033,0.000096,0,90
1,0.000067,0.000033,0.000100,0,96
0,0.000066,0.000040,0.000106,0,477
0,0.000087,0.000043,0.000130,0,576
1,0.000066,0.000033,0.000099,0,92
0,0.000077,0.000037,0.000114,0,443
1,0.000076,0.000034,0.000110,0,101
1,0.000071,0.000033,0.000104,0,123
1,0.000066,0.000034,0.000100,0,92
1,0.000070,0.000034,0.000104,0,141
1,0.000065,0.000034,0.000099,0,99
0,0.000065,0.000034,0.000099,0,388
